Insecticides	LC50	
1	6.8932	
2	6.8931	
3	8.4292	
4	8.9348	
5	11.7912	
6	7.6263	
7	8.2332	
8	5.6637	
9	6.8332	
10	8.2341	
11	7.7172	
12	8.5746	
13	9.2665	
14	8.7261	
15	8.2565	
16	9.7132	
17	10.9675	
18	11.3	
19	10.6	
20	8.67	
21	7.85	
22	9.42	
23	13.3	
24	7.13	
25	8.41	
26	7.16	
27	6.22	
28	7.34	
29	3.13	
30	10.7	
31	9.96	
32	12.1	
33	9.06	
34	10.2	
35	14.6	
36	13.4	
37	10.5	
38	8.53	
39	7.89	
40	4.82	
41	8.38	
42	0.114	
43	0.204	
44	0.275	
45	4.728	
46	0.517	
47	1.808	
48	0.505	
49	1.512	
50	0.272	
51	0.265	
52	0.101  	
53	0.077  	
